ID,Name,"ATC Code","Therapeutic Class","Care Category",Synonyms
"3fa8268b-f712-4808-bfcd-06d9ccaf98ad","hydrotalcite","A02AD04","médicaments pour les troubles de l'acidité > anti-acides > associations et complexes de composés à base d'aluminium, de calcium et de magnésium","",""
"32071b6b-e745-4acb-843b-8d984cc98b62","néomycine","A01AB08","préparations stomatologiques > préparations stomatologiques > anti-infectieux et antiseptiques pour traitement oral local","",""
"02ff2046-2652-4a68-9f76-786e673818fe","almasilate","A02AD05","médicaments pour les troubles de l'acidité > anti-acides > associations et complexes de composés à base d'aluminium, de calcium et de magnésium","",""
"21323173-1d31-4de2-89da-e56383b58b5a","magaldrate et antiflatulents","A02AF01","médicaments pour les troubles de l'acidité > anti-acides > anti-acides avec antiflatulents","",""
"480626f7-70f8-40a6-b7c4-658b71fa8c0c","associations de sels et antiflatulents","A02AF02","médicaments pour les troubles de l'acidité > anti-acides > anti-acides avec antiflatulents","",""
"82e83401-1e48-4a37-b582-37194a7e015f","cimétidine","A02BA01","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"955d727c-ff8b-4776-af34-a7b2dd8ecbe0","ranitidine","A02BA02","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"daee43a6-9072-4f70-af50-a3b1ab9a0ae3","famotidine","A02BA03","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"6951567d-bde8-4f74-8bb7-61978a3483de","nizatidine","A02BA04","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"9158e95e-717c-4868-b0c6-17f2727898a5","nipérotidine","A02BA05","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"ebb8f179-b048-4d01-b202-a336f519219a","roxatidine","A02BA06","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"ce5ac5ff-c545-4cc0-a6f2-562fb048c0eb","ranitidine bismuth citrate","A02BA07","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"0c790afa-9459-49a4-ac0f-7c2e0897b708","lafutidine","A02BA08","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"fda38d86-dc47-4fcd-8d08-ae593e15d1a2","cimétidine en association","A02BA51","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"7a289286-cb48-4a8b-9251-c866dfc6e681","famotidine en association","A02BA53","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"cdfa855c-08da-4521-aa5c-7e2726526bf6","misoprostol","A02BB01","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > prostaglandines","",""
"df136413-6932-42d2-91e6-1fcbea928d89","enprostil","A02BB02","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > prostaglandines","",""
"c4631d31-1fa1-464c-97ef-4fc3f87df17f","oméprazole","A02BC01","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > inhibiteurs de la pompe à protons","",""
"0a118f86-5b41-4795-ab1a-c97c6989826c","pantoprazole","A02BC02","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > inhibiteurs de la pompe à protons","",""
"baba5b06-7f49-414f-bfb1-bf0740bd9aa4","lansoprazole","A02BC03","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > inhibiteurs de la pompe à protons","",""
"9577737c-e994-4735-9e58-fa609d78fd77","rabéprazole","A02BC04","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > inhibiteurs de la pompe à protons","",""
"01f0f562-bc1f-4b45-8e82-b9da258cbfeb","ésoméprazole","A02BC05","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > inhibiteurs de la pompe à protons","",""
"afb67b32-195d-4ece-8e20-d801dd28ceae","dexlansoprazole","A02BC06","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > inhibiteurs de la pompe à protons","",""
"4fb58145-0e61-4c42-9ec1-20d5e238032c","dexrabéprazole","A02BC07","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > inhibiteurs de la pompe à protons","",""
"f8aa02b3-c4dc-46f7-b713-2faa0b054c04","vonoprazan","A02BC08","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > inhibiteurs de la pompe à protons","",""
"8f4921b4-b757-4aa2-a0a2-b309de79f209","tégoprazan","A02BC09","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > inhibiteurs de la pompe à protons","",""
"b64fe901-e493-4bdf-aaed-023f75fc1f7e","fexuprazan","A02BC10","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > inhibiteurs de la pompe à protons","",""
"7273fafe-d628-49c2-92a9-f91e781ea3c1","ilaprazole","A02BC11","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > inhibiteurs de la pompe à protons","",""
"bb0de102-2e99-497f-9150-cb3b156445bd","oméprazole en association","A02BC51","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > inhibiteurs de la pompe à protons","",""
"ce8b676d-165b-43fb-b8b9-575bc8a82e47","lansoprazole en association","A02BC53","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > inhibiteurs de la pompe à protons","",""
"b4dd1977-1f93-4c88-93aa-b1b882975232","rabéprazole en association","A02BC54","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > inhibiteurs de la pompe à protons","",""
"0ceb8d82-3b78-4dd4-aaff-38298e38d6cc","oméprazole, amoxicilline et métronidazole","A02BD01","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"648df75e-0f54-4d36-96aa-d6ff13d2059c","lansoprazole, tétracycline et métronidazole","A02BD02","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"6a5df9e0-3dea-4726-a6bc-34c698298cef","lansoprazole, amoxicilline et métronidazole","A02BD03","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"d25dffa2-dc6c-41a2-b5ae-7422225d030d","pantoprazole, amoxicilline et clarithromycine","A02BD04","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"d3f61d68-2880-419c-bb20-a2b6b3e5170e","oméprazole, amoxicilline et clarithromycine","A02BD05","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"3d516a64-f061-4962-8350-8b9f464a54de","ésoméprazole, amoxicilline et clarithromycine","A02BD06","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"11039a82-8bf3-4b23-80dc-0e7e7db08944","lansoprazole, amoxicilline et clarithromycine","A02BD07","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"3b78a5af-9550-460e-b856-8f598b4843c6","sous-citrate de bismuth, tétracycline et métronidazole","A02BD08","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"82bc50a2-020d-4a2a-a498-e5e290107135","lansoprazole, clarithromycine et tinidazole","A02BD09","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"405b454a-781f-43ee-ac50-79e497c4483f","lansoprazole, amoxicilline et lévofloxacine","A02BD10","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"a5f76733-d0cc-419f-9b29-b48bba32e910","pantoprazole, amoxicilline, clarithromycine et métronidazole","A02BD11","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"cd9dfc31-68a4-4ced-8daa-f9d046c02f38","rabéprazole, amoxicilline et clarithromycine","A02BD12","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"75faaafc-9fd3-4f51-a96c-2a30e0fe26bb","rabéprazole, amoxicilline et métronidazole","A02BD13","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"cdb0e612-e797-4042-b1fa-0b7f84167273","vonoprazan, amoxicilline et clarithromycine","A02BD14","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"b7cf42ea-1833-4088-9be1-8ba800a82912","vonoprazan, amoxicilline et métronidazole","A02BD15","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"5a796dd3-1a64-477b-99b9-b78fcb134306","oméprazole, amoxicilline et rifabutine","A02BD16","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"0291c422-5a80-4b97-880f-92d9d8bff951","vonoprazan et amoxicilline","A02BD17","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > associations pour l'éradication d'Hélicobacter pylori","",""
"9a2f9f9b-fe23-4f6e-824c-257e22cdcbd5","carbénoxolone","A02BX01","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"c6e529dc-7a3a-4bad-a90f-0b1b4200d1f4","sucralfate","A02BX02","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
