NOM_COMPLET;Nom commercial;DOSAGE;FORME;PRESENTATION;DCI;FABRIQUANT;PPV;PH;PFHT;UNITES_PAR_BOITE
ACULAR 0,005 FLACON DE 5 ML COLLYRE;ACULAR;0,005;COLLYRE;FLACON DE 5 ML;KETOROLAC TROMETHAMINE;AFRIC PHAR;36,30;22,70;21,64;1
ACUVAIL 0,0045 BOITE DE 30 RECIPIENTS UNIDOSE DE 0,4 ML COLLYRE EN SOLUTION;ACUVAIL;0,0045;COLLYRE EN SOLUTION;BOITE DE 30 RECIPIENTS UNIDOSE DE 0,4 ML;KETOROLAC TROMETHAMINE;AFRIC PHAR;127,50;79,70;75,90;30
AERRANE 1 FLACON DE 100 ML LIQUIDE POUR INHALATION;AERRANE;1;LIQUIDE POUR INHALATION;FLACON DE 100 ML;ISOFLURANE;AFRIC PHAR;338,00;225,00;214,53;1
AERRANE 1 FLACON DE 250 ML LIQUIDE POUR INHALATION;AERRANE;1;LIQUIDE POUR INHALATION;FLACON DE 250 ML;ISOFLURANE;AFRIC PHAR;756,00;502,00;478,86;1
ALGIK 500 MG / 50 MG BOITE DE 16 COMPRIME;ALGIK;500 MG / 50 MG;COMPRIME;BOITE DE 16;PARACETAMOL // CAFEINE;AFRIC PHAR;12,40;7,70;7,37;16
ALGIK 500 MG / 50 MG BOITE DE 20 SACHET;ALGIK;500 MG / 50 MG;SACHET;BOITE DE 20;PARACETAMOL // CAFEINE;AFRIC PHAR;20,40;12,80;12,16;20
ALPHAGAN 0,002 FLACON DE 5 ML COLLYRE;ALPHAGAN;0,002;COLLYRE;FLACON DE 5 ML;BRIMONIDINE (TARTRATE);AFRIC PHAR;85,50;53,40;50,88;1
AMOXICILLINE LLORENTE 250 MG FLACON DE 60 ML POUDRE POUR SUSPENTION BUVABLE;AMOXICILLINE LLORENTE;250 MG;POUDRE POUR SUSPENTION BUVABLE;FLACON DE 60 ML;AMOXICILLINE;AFRIC PHAR;22,80;14,30;13,60;1
AMOXICILLINE LLORENTE 500 MG BOITE DE 12 GELULE;AMOXICILLINE LLORENTE;500 MG;GELULE;BOITE DE 12;AMOXICILLINE;AFRIC PHAR;32,30;20,20;19,24;12
AMOXICILLINE LLORENTE 500 MG BOITE DE 24 GELULE;AMOXICILLINE LLORENTE;500 MG;GELULE;BOITE DE 24;AMOXICILLINE;AFRIC PHAR;56,90;35,50;33,86;24
AMPICILLINE LLORENTE 250 MG FLACON DE 60 ML POUDRE POUR SUSPENTION BUVABLE;AMPICILLINE LLORENTE;250 MG;POUDRE POUR SUSPENTION BUVABLE;FLACON DE 60 ML;AMPICILLINE;AFRIC PHAR;24,50;15,30;13,63;1
AMPICILLINE LLORENTE 500 MG BOITE DE 12 GELULE;AMPICILLINE LLORENTE;500 MG;GELULE;BOITE DE 12;AMPICILLINE;AFRIC PHAR;34,30;21,50;20,44;12
AMPICILLINE LLORENTE 500 MG BOITE DE 24 GELULE;AMPICILLINE LLORENTE;500 MG;GELULE;BOITE DE 24;AMPICILLINE;AFRIC PHAR;61,80;38,60;36,80;24
AMPICILLINE LLORENTE 500 MG BOITE DE 1 AMPOULE POUDRE POUR PREPARATION INJECTABLE;AMPICILLINE LLORENTE;500 MG;POUDRE POUR PREPARATION INJECTABLE;BOITE DE 1 AMPOULE;AMPICILLINE;AFRIC PHAR;9,90;6,20;5,51;1
BELMAZOL 20 MG BOITE DE 14 GELULE;BELMAZOL;20 MG;GELULE;BOITE DE 14;OMEPRAZOLE;AFRIC PHAR;45,80;28,60;27,26;14
BELMAZOL 20 MG BOITE DE 28 GELULE;BELMAZOL;20 MG;GELULE;BOITE DE 28;OMEPRAZOLE;AFRIC PHAR;89,70;56,10;53,40;28
BELMAZOL 20 MG BOITE DE 7 GELULE;BELMAZOL;20 MG;GELULE;BOITE DE 7;OMEPRAZOLE;AFRIC PHAR;21,00;13,10;12,52;7
BEMAG 500 MG / 125 MG BOITE DE 20 AMPOULE DE 10 ML SOLUTION BUVABLE;BEMAG;500 MG / 125 MG;SOLUTION BUVABLE;BOITE DE 20 AMPOULE DE 10 ML;MAGNESIUM (GLYCEROPHOSPHATE) // PYRIDOXINE (CHLORHYDRATE);AFRIC PHAR;39,10;24,40;23,25;20
BIODROXIL 1000 MG BOITE DE 12 COMPRIME ENROBE;BIODROXIL;1000 MG;COMPRIME ENROBE;BOITE DE 12;CEFADROXIL;AFRIC PHAR;143,00;89,40;85,11;12
BIODROXIL 125 MG / 5 ML FLACON DE 45 G GRANULE POUR SUSPENSION ORALE;BIODROXIL;125 MG / 5 ML;GRANULE POUR SUSPENSION ORALE;FLACON DE 45 G;CEFADROXIL;AFRIC PHAR;24,10;15,10;14,35;1
BIODROXIL 250 MG / 5 ML FLACON DE 45 G GRANULE POUR SUSPENSION ORALE;BIODROXIL;250 MG / 5 ML;GRANULE POUR SUSPENSION ORALE;FLACON DE 45 G;CEFADROXIL;AFRIC PHAR;42,90;26,80;25,53;1
BIODROXIL 500 MG BOITE DE 12 GELULE;BIODROXIL;500 MG;GELULE;BOITE DE 12;CEFADROXIL;AFRIC PHAR;71,50;44,70;42,56;12
BIOMOX 1 G BOITE DE 12 COMPRIME DISPERSIBLE;BIOMOX;1 G;COMPRIME DISPERSIBLE;BOITE DE 12;AMOXICILLINE;AFRIC PHAR;51,40;32,10;30,59;12
BIOMOX 1 G BOITE DE 24 COMPRIME DISPERSIBLE;BIOMOX;1 G;COMPRIME DISPERSIBLE;BOITE DE 24;AMOXICILLINE;AFRIC PHAR;90,40;56,50;53,83;24
BIOMOX 250 MG FLACON DE 100 ML POUDRE POUR SUSPENSION BUVABLE;BIOMOX;250 MG;POUDRE POUR SUSPENSION BUVABLE;FLACON DE 100 ML;AMOXICILLINE;AFRIC PHAR;31,40;19,60;18,72;1
BIOMOX 250 MG FLACON DE 60 ML SUSPENSION BUVABLE;BIOMOX;250 MG;SUSPENSION BUVABLE;FLACON DE 60 ML;AMOXICILLINE;AFRIC PHAR;21,90;13,70;13,05;1
BIOMOX 500 MG BOITE DE 12 GELULE;BIOMOX;500 MG;GELULE;BOITE DE 12;AMOXICILLINE;AFRIC PHAR;32,30;20,20;19,24;12
BIOMOX 500 MG BOITE DE 24 GELULE;BIOMOX;500 MG;GELULE;BOITE DE 24;AMOXICILLINE;AFRIC PHAR;56,90;35,50;33,86;24
BROMAX 15 MG / 5 ML (0,30%) FLACON DE 200 ML SOLUTION BUVABLE;BROMAX;15 MG / 5 ML (0,30%);SOLUTION BUVABLE;FLACON DE 200 ML;AMBROXOL;AFRIC PHAR;27,10;16,90;16,13;1
BROMAX 30 MG / 5 ML (0,6%) FLACON DE 200 ML SOLUTION BUVABLE;BROMAX;30 MG / 5 ML (0,6%);SOLUTION BUVABLE;FLACON DE 200 ML;AMBROXOL;AFRIC PHAR;30,80;19,30;18,36;1
BRONCOTEC 12 ΜG BOITE DE 20 GELULE POUR INHALATION;BRONCOTEC;12 µG;GELULE POUR INHALATION;BOITE DE 20;FORMOTEROL (FUMARATE);ATLAS PHARM;84,60;52,90;50,36;20
BRONCOTEC 12 ΜG BOITE DE 30 GELULE POUR INHALATION;BRONCOTEC;12 µG;GELULE POUR INHALATION;BOITE DE 30;FORMOTEROL (FUMARATE);ATLAS PHARM;123,80;77,40;73,69;30
BUDENA 100 MCG FLACON DE 200 DOSES AEROSOL NASAL;BUDENA;100 MCG;AEROSOL NASAL;FLACON DE 200 DOSES;BUDESONIDE;AFRIC PHAR;139,20;87,00;82,88;1
BUDENA 200 MCG FLACON DE 200 DOSES AEROSOL;BUDENA;200 MCG;AEROSOL;FLACON DE 200 DOSES;BUDESONIDE;AFRIC PHAR;234,00;146,20;139,29;1
BUDENA 64 ΜG / DOSE FLACON DE 120 DOSES SUSPENSION POUR PELVERISATION NASALE;BUDENA;64 µG / DOSE;SUSPENSION POUR PELVERISATION NASALE;FLACON DE 120 DOSES;BUDESONIDE;AFRIC PHAR;67,90;42,40;40,41;1
CATEX 250 MG BOITE DE 10 COMPRIME;CATEX;250 MG;COMPRIME;BOITE DE 10;CIPROFLOXACINE (CHLORHYDRATE);AFRIC PHAR;51,40;32,10;30,60;10
CATEX 250 MG BOITE DE 20 COMPRIME;CATEX;250 MG;COMPRIME;BOITE DE 20;CIPROFLOXACINE (CHLORHYDRATE);AFRIC PHAR;90,50;56,50;53,85;20
CATEX 500 MG BOITE DE 10 COMPRIME;CATEX;500 MG;COMPRIME;BOITE DE 10;CIPROFLOXACINE (CHLORHYDRATE);AFRIC PHAR;74,80;46,70;44,50;10
CATEX 500 MG BOITE DE 20 COMPRIME;CATEX;500 MG;COMPRIME;BOITE DE 20;CIPROFLOXACINE (CHLORHYDRATE);AFRIC PHAR;131,60;82,20;78,32;20
CATEX 750 MG BOITE DE 10 COMPRIME;CATEX;750 MG;COMPRIME;BOITE DE 10;CIPROFLOXACINE (CHLORHYDRATE);AFRIC PHAR;131,00;81,90;78,00;10
CATEX 750 MG BOITE DE 20 COMPRIME;CATEX;750 MG;COMPRIME;BOITE DE 20;CIPROFLOXACINE (CHLORHYDRATE);AFRIC PHAR;470,00;312,00;297,98;20
CELLUVISC 4 MG / 0,4 ML BOITE DE 30 COLLYRE RECIPIENT UNIDOSE;CELLUVISC;4 MG / 0,4 ML;COLLYRE RECIPIENT UNIDOSE;BOITE DE 30;CARMELLOSE (SODIQUE);AFRIC PHAR;41,50;25,90;24,70;30
CETIRAL 1 MG / ML FLACON DE 60 ML SOLUTION BUVABLE;CETIRAL;1 MG / ML;SOLUTION BUVABLE;FLACON DE 60 ML;CETIRIZINE (DICHLORHYDRATE);AFRIC PHAR;25,60;16,00;15,25;1
CETIRAL 10 MG BOITE DE 15 COMPRIME PELLICULE;CETIRAL;10 MG;COMPRIME PELLICULE;BOITE DE 15;CETIRIZINE (DICHLORHYDRATE);AFRIC PHAR;42,80;26,70;25,47;15
CHEMOSET 2 MG / ML BOITE DE 5 AMPOULE DE 2 ML SOLUTION INJECTABLE;CHEMOSET;2 MG / ML;SOLUTION INJECTABLE;BOITE DE 5 AMPOULE DE 2 ML;ONDANSETRON (CHLOHYDRATE);AFRIC PHAR;269,00;179,30;170,75;5
CHEMOSET 2 MG / ML BOITE DE 5 AMPOULE DE 4 ML SOLUTION INJECTABLE;CHEMOSET;2 MG / ML;SOLUTION INJECTABLE;BOITE DE 5 AMPOULE DE 4 ML;ONDANSETRON (CHLOHYDRATE);AFRIC PHAR;511,00;340,00;323,83;5
CHEMOSET 4 MG BOITE DE 1 COMPRIME PELLICULE;CHEMOSET;4 MG;COMPRIME PELLICULE;BOITE DE 1;ONDANSETRON (CHLOHYDRATE);AFRIC PHAR;22,00;13,70;12,24;1
CHEMOSET 4 MG BOITE DE 10 COMPRIME PELLICULE;CHEMOSET;4 MG;COMPRIME PELLICULE;BOITE DE 10;ONDANSETRON (CHLOHYDRATE);AFRIC PHAR;175,70;109,80;104,58;10
CHEMOSET 4 MG BOITE DE 5 COMPRIME PELLICULE;CHEMOSET;4 MG;COMPRIME PELLICULE;BOITE DE 5;ONDANSETRON (CHLOHYDRATE);AFRIC PHAR;91,60;57,20;54,52;5
CHEMOSET 8 MG BOITE DE 1 COMPRIME PELLICULE;CHEMOSET;8 MG;COMPRIME PELLICULE;BOITE DE 1;ONDANSETRON (CHLOHYDRATE);AFRIC PHAR;39,00;24,30;21,70;1
CHEMOSET 8 MG BOITE DE 10 COMPRIME PELLICULE;CHEMOSET;8 MG;COMPRIME PELLICULE;BOITE DE 10;ONDANSETRON (CHLOHYDRATE);AFRIC PHAR;333,00;221,00;211,37;10
CHEMOSET 8 MG BOITE DE 5 COMPRIME PELLICULE;CHEMOSET;8 MG;COMPRIME PELLICULE;BOITE DE 5;ONDANSETRON (CHLOHYDRATE);AFRIC PHAR;188,00;117,10;104,58;5
CICLOVIRAL 0,05 TUBE DE 10 G CREME;CICLOVIRAL;0,05;CREME;TUBE DE 10 G;ACICLOVIR;AFRIC PHAR;38,90;24,30;23,19;1
CICLOVIRAL 200 MG BOITE DE 25 COMPRIME;CICLOVIRAL;200 MG;COMPRIME;BOITE DE 25;ACICLOVIR;AFRIC PHAR;91,10;56,90;54,24;25
CICLOVIRAL 250 MG BOITE DE 5 FLACONS POUDRE LYOPHILISEE + SOLVANT;CICLOVIRAL;250 MG;POUDRE LYOPHILISEE + SOLVANT;BOITE DE 5 FLACONS;ACICLOVIR;AFRIC PHAR;628,00;417,00;397,61;5
CICLOVIRAL 400 MG / 5 ML FLACON DE 100 ML SUSPENSION BUVABLE;CICLOVIRAL;400 MG / 5 ML;SUSPENSION BUVABLE;FLACON DE 100 ML;ACICLOVIR;AFRIC PHAR;186,90;116,80;111,26;1
CICLOVIRAL 400 MG BOITE DE 25 COMPRIME;CICLOVIRAL;400 MG;COMPRIME;BOITE DE 25;ACICLOVIR;AFRIC PHAR;242,00;151,90;144,63;25
CICLOVIRAL 800 MG BOITE DE 12 COMPRIME;CICLOVIRAL;800 MG;COMPRIME;BOITE DE 12;ACICLOVIR;AFRIC PHAR;247,00;154,80;147,42;12
CICLOVIRAL 800 MG BOITE DE 25 COMPRIME;CICLOVIRAL;800 MG;COMPRIME;BOITE DE 25;ACICLOVIR;AFRIC PHAR;469,00;312,00;297,34;25
CLOMITER 0,01 TUBE DE 30 G CREME;CLOMITER;0,01;CREME;TUBE DE 30 G;CLOTRIMAZOLE;AFRIC PHAR;27,70;17,30;16,52;1
CLOMITER 0,01 FLACON DE 30 ML SOLUTION TOPIQUE;CLOMITER;0,01;SOLUTION TOPIQUE;FLACON DE 30 ML;CLOTRIMAZOLE;AFRIC PHAR;27,00;16,90;16,08;1
CO-IRVEL 150 MG / 12,5 MG BOITE DE 14 COMPRIME PELLICULE;CO-IRVEL;150 MG / 12,5 MG;COMPRIME PELLICULE;BOITE DE 14;"IRBESARTAN
 // HYDROCHLOROTHIAZIDE";AFRIC PHAR;69,50;43,40;41,39;14
CO-IRVEL 150 MG / 12,5 MG BOITE DE 28 COMPRIME PELLICULE;CO-IRVEL;150 MG / 12,5 MG;COMPRIME PELLICULE;BOITE DE 28;"IRBESARTAN
 // HYDROCHLOROTHIAZIDE";AFRIC PHAR;124,00;77,50;73,79;28
CO-IRVEL 150 MG / 12,5 MG BOITE DE 7 COMPRIME PELLICULE;CO-IRVEL;150 MG / 12,5 MG;COMPRIME PELLICULE;BOITE DE 7;"IRBESARTAN
 // HYDROCHLOROTHIAZIDE";AFRIC PHAR;35,20;22,00;20,96;7
CO-IRVEL 300 MG / 12,5 MG BOITE DE 14 COMPRIME PELLICULE;CO-IRVEL;300 MG / 12,5 MG;COMPRIME PELLICULE;BOITE DE 14;"IRBESARTAN
 // HYDROCHLOROTHIAZIDE";AFRIC PHAR;85,00;53,10;50,60;14
CO-IRVEL 300 MG / 12,5 MG BOITE DE 28 COMPRIME PELLICULE;CO-IRVEL;300 MG / 12,5 MG;COMPRIME PELLICULE;BOITE DE 28;"IRBESARTAN
 // HYDROCHLOROTHIAZIDE";AFRIC PHAR;158,00;98,70;94,05;28
CO-IRVEL 300 MG / 12,5 MG BOITE DE 7 COMPRIME PELLICULE;CO-IRVEL;300 MG / 12,5 MG;COMPRIME PELLICULE;BOITE DE 7;"IRBESARTAN
 // HYDROCHLOROTHIAZIDE";AFRIC PHAR;42,50;26,50;25,29;7
COMBIGAN 2 MG / ML + 5 MG / ML FLACON DE 5 ML COLLYRE;COMBIGAN;2 MG / ML + 5 MG / ML;COLLYRE;FLACON DE 5 ML;BRIMONIDINE (TARTRATE) // TIMOLOL MALEATE;AFRIC PHAR;169,70;106,00;100,99;1
CORTIVENT 250 ΜG / DOSE FLACON DE 200 DOSES SUSPENSION POUR INHALATION BUCCALE;CORTIVENT;250 µG / DOSE;SUSPENSION POUR INHALATION BUCCALE;FLACON DE 200 DOSES;BECLOMETHASONE;AFRIC PHAR;86,50;54,00;51,48;1
CORTIVENT 50 ΜG / DOSE FLACON DE 200 DOSES SUSPENSION POUR INHALATION BUCCALE;CORTIVENT;50 µG / DOSE;SUSPENSION POUR INHALATION BUCCALE;FLACON DE 200 DOSES;BECLOMETHASONE;AFRIC PHAR;55,00;34,40;32,74;1
CORTOFTAL 0 FLACON DE 5 ML COLLYRE;CORTOFTAL;0;COLLYRE;FLACON DE 5 ML;CLOBETASONE (BUTYRATE);AFRIC PHAR;22,90;14,30;13,63;1
COSMOFER 50 MG / ML BOITE DE 5 AMPOULE DE 2 ML SOLUTION INJECTABLE IV-IM;COSMOFER;50 MG / ML;SOLUTION INJECTABLE IV-IM;BOITE DE 5 AMPOULE DE 2 ML;HYDROXYDE (FERRIQUE);AFRIC PHAR;288,00;191,50;182,43;5
CO-TANZAAR 100 MG / 25 MG BOITE DE 14 COMPRIME PELLICULE;CO-TANZAAR;100 MG / 25 MG;COMPRIME PELLICULE;BOITE DE 14;LOSARTAN // HYDROCHLOROTHIAZIDE;AFRIC PHAR;79,40;49,60;47,27;14
CO-TANZAAR 100 MG / 25 MG BOITE DE 28 COMPRIME PELLICULE;CO-TANZAAR;100 MG / 25 MG;COMPRIME PELLICULE;BOITE DE 28;LOSARTAN // HYDROCHLOROTHIAZIDE;AFRIC PHAR;139,70;87,30;83,19;28
CO-TANZAAR 50 MG / 12,5 MG BOITE DE 14 COMPRIME PELLICULE;CO-TANZAAR;50 MG / 12,5 MG;COMPRIME PELLICULE;BOITE DE 14;LOSARTAN // HYDROCHLOROTHIAZIDE;AFRIC PHAR;60,60;37,90;36,10;14
CO-TANZAAR 50 MG / 12,5 MG BOITE DE 28 COMPRIME PELLICULE;CO-TANZAAR;50 MG / 12,5 MG;COMPRIME PELLICULE;BOITE DE 28;LOSARTAN // HYDROCHLOROTHIAZIDE;AFRIC PHAR;106,70;66,70;63,53;28
CUSICROM 0,04 FLACON DE 10 ML COLLYRE;CUSICROM;0,04;COLLYRE;FLACON DE 10 ML;CROMOGLICATE DE SODIUM;AFRIC PHAR;34,60;21,60;20,58;1
CUSICROM NASALE 0,04 FLACON DE 15 ML SOLUTION NASALE;CUSICROM NASALE;0,04;SOLUTION NASALE;FLACON DE 15 ML;CROMOGLICATE DE SODIUM;AFRIC PHAR;34,30;21,40;20,42;1
CUSIMOLOL 0,0025 FLACON DE 5 ML COLLYRE;CUSIMOLOL;0,0025;COLLYRE;FLACON DE 5 ML;TIMOLOL (MALEATE);AFRIC PHAR;32,60;20,40;19,41;1
CUSIMOLOL 0,005 FLACON DE 5 ML COLLYRE;CUSIMOLOL;0,005;COLLYRE;FLACON DE 5 ML;TIMOLOL (MALEATE);AFRIC PHAR;37,70;23,50;22,42;1
CUSIVIRAL 0,03 TUBE DE 4,5 G POMMADE OPHTALMIQUE;CUSIVIRAL;0,03;POMMADE OPHTALMIQUE;TUBE DE 4,5 G;ACICLOVIR;AFRIC PHAR;79,70;49,80;47,45;1
CUSIVIRAL 0,05 TUBE DE 15 G POMMADE;CUSIVIRAL;0,05;POMMADE;TUBE DE 15 G;ACICLOVIR;AFRIC PHAR;183,60;114,40;102,14;1
CUSIVIRAL 0,05 TUBE DE 2 G POMMADE;CUSIVIRAL;0,05;POMMADE;TUBE DE 2 G;ACICLOVIR;AFRIC PHAR;35,70;22,20;19,86;1
DECLOBAN 0,0005 TUBE DE 15 G POMMADE;DECLOBAN;0,0005;POMMADE;TUBE DE 15 G;CLOBETASOL (PROPIONATE);AFRIC PHAR;19,10;11,90;11,35;1
DECLOBAN 0,0005 TUBE DE 30 G POMMADE;DECLOBAN;0,0005;POMMADE;TUBE DE 30 G;CLOBETASOL (PROPIONATE);AFRIC PHAR;28,60;17,90;17,02;1
DILOVAC 25 MG BOITE DE 30 COMPRIME SECABLE;DILOVAC;25 MG;COMPRIME SECABLE;BOITE DE 30;CARVEDILOL;AFRIC PHAR;72,80;45,50;43,33;30
DILOVAC 6,25 MG BOITE DE 30 COMPRIME SECABLE;DILOVAC;6,25 MG;COMPRIME SECABLE;BOITE DE 30;CARVEDILOL;AFRIC PHAR;31,20;19,50;18,57;30
DIPICOR 10 MG BOITE DE 30 COMPRIME;DIPICOR;10 MG;COMPRIME;BOITE DE 30;AMLODIPINE;AFRIC PHAR;75,90;47,50;45,20;30
DIPICOR 10 MG BOITE DE 60 COMPRIME;DIPICOR;10 MG;COMPRIME;BOITE DE 60;AMLODIPINE;AFRIC PHAR;150,10;93,80;89,35;60
DIPICOR 5 MG BOITE DE 30 COMPRIME;DIPICOR;5 MG;COMPRIME;BOITE DE 30;AMLODIPINE;AFRIC PHAR;51,80;32,30;30,81;30
DIPICOR 5 MG BOITE DE 60 COMPRIME;DIPICOR;5 MG;COMPRIME;BOITE DE 60;AMLODIPINE;AFRIC PHAR;99,00;61,90;58,93;60
DONA 1500 MG BOITE DE 30 SACHETS POUDRE POUR SOLUTION ORAL;DONA;1500 MG;POUDRE POUR SOLUTION ORAL;BOITE DE 30 SACHETS;GLUCOSAMINE (SULFATE);AFRIC PHAR;129,90;81,20;77,33;30
DOXICAN 20 MG BOITE DE 10 GELULE;DOXICAN;20 MG;GELULE;BOITE DE 10;TENOXICAM;AFRIC PHAR;41,10;25,70;24,49;10
DOXICAN 20 MG BOITE DE 20 GELULE;DOXICAN;20 MG;GELULE;BOITE DE 20;TENOXICAM;AFRIC PHAR;72,40;45,20;43,10;20
DOXICAN 20 MG BOITE DE 6 SUPPOSITOIRE;DOXICAN;20 MG;SUPPOSITOIRE;BOITE DE 6;TENOXICAM;AFRIC PHAR;37,40;23,40;22,25;6
ELEBLOC 0,01 FLACON DE 5 ML COLLYRE;ELEBLOC;0,01;COLLYRE;FLACON DE 5 ML;CARTEOLOL (CHLORHYDRATE);AFRIC PHAR;35,40;22,10;21,08;1
ELEBLOC 0,02 FLACON DE 5 ML COLLYRE;ELEBLOC;0,02;COLLYRE;FLACON DE 5 ML;CARTEOLOL (CHLORHYDRATE);AFRIC PHAR;37,70;23,50;22,42;1
ELLEACNELLE 2 MG / 0,035 MG BOITE DE 21 COMPRIME;ELLEACNELLE;2 MG / 0,035 MG;COMPRIME;BOITE DE 21;CYPROTERONE (ACETATE) // ETHINYLESTRADIOL;AFRIC PHAR;36,50;22,70;20,30;21
EUCARBON 180 MG / 25 MG / 105 MG / 25 MG BOITE DE 30 COMPRIME;EUCARBON;180 MG / 25 MG / 105 MG / 25 MG;COMPRIME;BOITE DE 30;CHARBON VEGETAL // EXTRAIT DE RHUBARBE // FEUILLES DE SENE // SOUFRE;AFRIC PHAR;29,90;18,70;17,80;30
EUCARBON 180 MG / 25 MG / 105 MG / 50 MG BOITE DE 100 COMPRIME;EUCARBON;180 MG / 25 MG / 105 MG / 50 MG;COMPRIME;BOITE DE 100;CHARBON VEGETAL // EXTRAIT DE RHUBARBE // FEUILLES DE SENE // SOUFRE;AFRIC PHAR;85,00;53,10;50,62;100
EXOCINE 0,003 FLACON DE 5 ML COLLYRE;EXOCINE;0,003;COLLYRE;FLACON DE 5 ML;OFLOXACINE;AFRIC PHAR;37,70;23,60;22,47;1
FEIBA 1000 UI / 20 ML COFFRET(2 FLACONS / 20 ML+ SERINGUE + AIGUILLE + DISPOSITIF DE TRANSFERT + 1 NECESSAIRE) POUDRE LYOPHILISEE POUR INJECTION OU PERFUSION IV;FEIBA;1000 UI / 20 ML;POUDRE LYOPHILISEE POUR INJECTION OU PERFUSION IV;COFFRET(2 FLACONS / 20 ML+ SERINGUE + AIGUILLE + DISPOSITIF DE TRANSFERT + 1 NECESSAIRE);FACTEURS DE COAGULATION AYANT ACTIVITE COURT-CIRCUITANT L'INHIBITEUR DU FACTEUR VIII;AFRIC PHAR;6 472,00;6 251,00;5 953,72;2
FEIBA 500 UI / 20 ML COFFRET(2 FLACONS / 20 ML+ SERINGUE + AIGUILLE + DISPOSITIF DE TRANSFERT + 1 NECESSAIRE) POUDRE LYOPHILISEE POUR INJECTION OU PERFUSION IV;FEIBA;500 UI / 20 ML;POUDRE LYOPHILISEE POUR INJECTION OU PERFUSION IV;COFFRET(2 FLACONS / 20 ML+ SERINGUE + AIGUILLE + DISPOSITIF DE TRANSFERT + 1 NECESSAIRE);FACTEURS DE COAGULATION AYANT ACTIVITE COURT-CIRCUITANT L'INHIBITEUR DU FACTEUR VIII;AFRIC PHAR;3 435,00;3 124,00;2 975,52;2
FERRIPROX 100 MG / ML FLACON DE 500 ML SOLUTION ORALE;FERRIPROX;100 MG / ML;SOLUTION ORALE;FLACON DE 500 ML;DEFERIPRONE;AFRIC PHAR;1 388,00;1 120,00;1 067,47;1
FERRIPROX 500 MG BOITE DE 100 COMPRIME PELLICULE;FERRIPROX;500 MG;COMPRIME PELLICULE;BOITE DE 100;DEFERIPRONE;AFRIC PHAR;2 384,00;2 042,00;1 945,32;100
FLAMIX 15 MG BOITE DE 14 COMPRIME;FLAMIX;15 MG;COMPRIME;BOITE DE 14;MELOXICAM;AFRIC PHAR;50,80;31,80;30,25;14
FLAMIX 7,5 MG BOITE DE 14 COMPRIME;FLAMIX;7,5 MG;COMPRIME;BOITE DE 14;MELOXICAM;AFRIC PHAR;33,80;21,10;20,14;14
FLOXIL 500 MG BOITE DE 16 GELULE;FLOXIL;500 MG;GELULE;BOITE DE 16;FLUCLOXACILLINE;ATLAS PHARM;74,10;46,30;44,11;16
FLOXIL 500 MG BOITE DE 24 GELULE;FLOXIL;500 MG;GELULE;BOITE DE 24;FLUCLOXACILLINE;ATLAS PHARM;105,90;66,20;63,03;24
GANFORT 0,3 MG / ML + 5 MG / ML FLACON DE 3 ML COLLYRE;GANFORT;0,3 MG / ML + 5 MG / ML;COLLYRE;FLACON DE 3 ML;BIMATOPROST // TIMOLOL;AFRIC PHAR;212,00;132,80;126,46;1
GAPREX 150 MG BOITE DE 10 GELULE;GAPREX;150 MG;GELULE;BOITE DE 10;PREGABALINE;AFRIC PHAR;61,20;38,20;36,43;10
GAPREX 150 MG BOITE DE 30 GELULE;GAPREX;150 MG;GELULE;BOITE DE 30;PREGABALINE;AFRIC PHAR;161,10;100,70;95,87;30
GAPREX 150 MG BOITE DE 60 GELULE;GAPREX;150 MG;GELULE;BOITE DE 60;PREGABALINE;AFRIC PHAR;271,00;180,10;171,53;60
GAPREX 25 MG BOITE DE 30 GELULE;GAPREX;25 MG;GELULE;BOITE DE 30;PREGABALINE;AFRIC PHAR;57,10;35,70;34,01;30
GAPREX 25 MG BOITE DE 60 GELULE;GAPREX;25 MG;GELULE;BOITE DE 60;PREGABALINE;AFRIC PHAR;102,10;63,80;60,77;60
GAPREX 75 MG BOITE DE 10 GELULE;GAPREX;75 MG;GELULE;BOITE DE 10;PREGABALINE;AFRIC PHAR;40,60;25,40;24,19;10
GAPREX 75 MG BOITE DE 30 GELULE;GAPREX;75 MG;GELULE;BOITE DE 30;PREGABALINE;AFRIC PHAR;106,90;66,80;63,66;30
GAPREX 75 MG BOITE DE 60 GELULE;GAPREX;75 MG;GELULE;BOITE DE 60;PREGABALINE;AFRIC PHAR;191,60;119,70;114,03;60
GASTROLIBER 30 MG BOITE DE 30 GELULE;GASTROLIBER;30 MG;GELULE;BOITE DE 30;LANSOPRAZOLE;ATLAS PHARM;135,50;84,70;80,66;30
GEMCITABINE HOSPIRA 2 G FLACON DE 100 ML POUDRE POUR SOLUTION A PERFUSION;GEMCITABINE HOSPIRA;2 G;POUDRE POUR SOLUTION A PERFUSION;FLACON DE 100 ML;GEMCITABINE;PFIZER;1 212,00;939,00;894,55;1
GENTADEXA 0 FLACON DE 10 ML SOLUTION OPHTALMIQUE;GENTADEXA;0;SOLUTION OPHTALMIQUE;FLACON DE 10 ML;GENTAMICINE // DEXAMETHASONE // TETRYZOLINE (CHLORHYDRATE);AFRIC PHAR;18,70;11,70;11,13;1
