NOM_COMPLET;Nom commercial;DOSAGE;FORME;PRESENTATION;DCI;FABRIQUANT;PPV;PH;PFHT;UNITES_PAR_BOITE
XENPOZYME 20 MG BOITE D'UN FLACON POUDRE POUR SOLUTION A DILUER POUR PERFUSION EN FLACON;XENPOZYME;20 MG;POUDRE POUR SOLUTION A DILUER POUR PERFUSION EN FLACON;BOITE D'UN FLACON;OLIPUDASE ALFA;SANOFI AVENTIS MAROC;SANS PPV;SANS PH;SANS PFHT;1
IOPAMIDOL 300 -GS 300 MGI / ML ( 15 G / 50 ML ) FLACON DE 50 ML SOLUTION AQUEUSE INJECTABLE;IOPAMIDOL 300 -GS;300 MGI / ML ( 15 G / 50 ML );SOLUTION AQUEUSE INJECTABLE;FLACON DE 50 ML;IOPAMIDOL;GENERATION SANTE;SANS PPV;SANS PH;SANS PFHT;1
IOPAMIDOL 300 -GS 300 MGI / ML ( 30 G / 100 ML ) FLACON DE 100 ML SOLUTION AQUEUSE INJECTABLE;IOPAMIDOL 300 -GS;300 MGI / ML ( 30 G / 100 ML );SOLUTION AQUEUSE INJECTABLE;FLACON DE 100 ML;IOPAMIDOL;GENERATION SANTE;SANS PPV;SANS PH;SANS PFHT;1
IOPAMIDOL 370 -GS 370 MGI / ML ( 18,5 G / 50 ML ) FLACON DE 50 ML SOLUTION AQUEUSE INJECTABLE;IOPAMIDOL 370 -GS;370 MGI / ML ( 18,5 G / 50 ML );SOLUTION AQUEUSE INJECTABLE;FLACON DE 50 ML;IOPAMIDOL;GENERATION SANTE;SANS PPV;SANS PH;SANS PFHT;1
IOPAMIDOL 370 -GS 370 MGI / ML ( 37 G / 100 ML ) FLACON DE 100 ML SOLUTION AQUEUSE INJECTABLE;IOPAMIDOL 370 -GS;370 MGI / ML ( 37 G / 100 ML );SOLUTION AQUEUSE INJECTABLE;FLACON DE 100 ML;IOPAMIDOL;GENERATION SANTE;SANS PPV;SANS PH;SANS PFHT;1
MOVART 5 MG / 80 MG BOITE DE 28 COMPRIMES PELLICULES;MOVART;5 MG / 80 MG;COMPRIMES PELLICULES;BOITE DE 28;AMLODIPINE // VALSARTAN;AXESS PHARMA;SANS PPV;SANS PH;SANS PFHT;28
MOVART 5 MG / 160 MG BOITE DE 28 COMPRIMES PELLICULES;MOVART;5 MG / 160 MG;COMPRIMES PELLICULES;BOITE DE 28;AMLODIPINE // VALSARTAN;AXESS PHARMA;SANS PPV;SANS PH;SANS PFHT;28
MOVART 10 MG / 160 MG BOITE DE 28 COMPRIMES PELLICULES;MOVART;10 MG / 160 MG;COMPRIMES PELLICULES;BOITE DE 28;AMLODIPINE // VALSARTAN;AXESS PHARMA;SANS PPV;SANS PH;SANS PFHT;28
MOVART 10 MG / 320 MG BOITE DE 28 COMPRIMES PELLICULES;MOVART;10 MG / 320 MG;COMPRIMES PELLICULES;BOITE DE 28;AMLODIPINE // VALSARTAN;AXESS PHARMA;SANS PPV;SANS PH;SANS PFHT;28
SUNITINIB GT 12,5 MG BOITE DE 28 GELULE;SUNITINIB GT;12,5 MG;GELULE;BOITE DE 28;SUNITINIB MALATE;ATLAS PHARM;SANS PPV;SANS PH;SANS PFHT;28
SUNITINIB GT 25 MG BOITE DE 28 GELULE;SUNITINIB GT;25 MG;GELULE;BOITE DE 28;SUNITINIB MALATE;ATLAS PHARM;SANS PPV;SANS PH;SANS PFHT;28
SUNITINIB GT 50 MG BOITE DE 28 GELULE;SUNITINIB GT;50 MG;GELULE;BOITE DE 28;SUNITINIB MALATE;ATLAS PHARM;SANS PPV;SANS PH;SANS PFHT;28
DIAMET 500 MG BOITE DE 30 COMPRIMES PELLICULES;DIAMET;500 MG;COMPRIMES PELLICULES;BOITE DE 30;METFORMINE (CHLORHYDRATE);AFRIC PHAR;SANS PPV;SANS PH;SANS PFHT;30
DIAMET 500 MG BOITE DE 60 COMPRIMES PELLICULES;DIAMET;500 MG;COMPRIMES PELLICULES;BOITE DE 60;METFORMINE (CHLORHYDRATE);AFRIC PHAR;SANS PPV;SANS PH;SANS PFHT;60
DIAMET 500 MG BOITE DE 90 COMPRIMES PELLICULES;DIAMET;500 MG;COMPRIMES PELLICULES;BOITE DE 90;METFORMINE (CHLORHYDRATE);AFRIC PHAR;SANS PPV;SANS PH;SANS PFHT;90
DIAMET 850 MG BOITE DE 30 COMPRIMES PELLICULES;DIAMET;850 MG;COMPRIMES PELLICULES;BOITE DE 30;METFORMINE (CHLORHYDRATE);AFRIC PHAR;SANS PPV;SANS PH;SANS PFHT;30
DIAMET 850 MG BOITE DE 60 COMPRIMES PELLICULES;DIAMET;850 MG;COMPRIMES PELLICULES;BOITE DE 60;METFORMINE (CHLORHYDRATE);AFRIC PHAR;SANS PPV;SANS PH;SANS PFHT;60
DIAMET 850 MG BOITE 90 COMPRIMES PELLICULES;DIAMET;850 MG;COMPRIMES PELLICULES;BOITE 90;METFORMINE (CHLORHYDRATE);AFRIC PHAR;SANS PPV;SANS PH;SANS PFHT;90
DIAMET 1000 MG BOITE DE 30 COMPRIMES PELLICULES;DIAMET;1000 MG;COMPRIMES PELLICULES;BOITE DE 30;METFORMINE (CHLORHYDRATE);AFRIC PHAR;SANS PPV;SANS PH;SANS PFHT;30
DIAMET 1000 MG BOITE DE 60 COMPRIMES PELLICULES;DIAMET;1000 MG;COMPRIMES PELLICULES;BOITE DE 60;METFORMINE (CHLORHYDRATE);AFRIC PHAR;SANS PPV;SANS PH;SANS PFHT;60
DIAMET 1000 MG BOITE 90 COMPRIMES PELLICULES;DIAMET;1000 MG;COMPRIMES PELLICULES;BOITE 90;METFORMINE (CHLORHYDRATE);AFRIC PHAR;SANS PPV;SANS PH;SANS PFHT;90
INSULINE LISPRO RAPIDE COOPER 100 UNITES / ML BOITE DE 1 STYLO SOLUTION INJECTABLE EN STYLO PRE-REMPLI DE 3 ML DE SOLUTION;INSULINE LISPRO RAPIDE COOPER;100 UNITES / ML;SOLUTION INJECTABLE EN STYLO PRE-REMPLI DE 3 ML DE SOLUTION;BOITE DE 1 STYLO;INSULINE LISPRO;COOPER PHARMA;SANS PPV;SANS PH;SANS PFHT;1
INSULINE LISPRO RAPIDE COOPER 100 UNITES / ML BOITE DE 5 STYLOS SOLUTION INJECTABLE EN STYLO PRE-REMPLI DE 3 ML DE SOLUTION;INSULINE LISPRO RAPIDE COOPER;100 UNITES / ML;SOLUTION INJECTABLE EN STYLO PRE-REMPLI DE 3 ML DE SOLUTION;BOITE DE 5 STYLOS;INSULINE LISPRO;COOPER PHARMA;SANS PPV;SANS PH;SANS PFHT;5
BISOPROLOL NOVOPHARMA 2,5 MG BOITE DE 15 COMPRIMES PELLICULES SECABLES;BISOPROLOL NOVOPHARMA;2,5 MG;COMPRIMES PELLICULES SECABLES;BOITE DE 15;BISOPROLOL FUMARATE;NOVOPHARMA;SANS PPV;SANS PH;SANS PFHT;15
BISOPROLOL NOVOPHARMA 2,5 MG BOITE DE 30 COMPRIMES PELLICULES SECABLES;BISOPROLOL NOVOPHARMA;2,5 MG;COMPRIMES PELLICULES SECABLES;BOITE DE 30;BISOPROLOL FUMARATE;NOVOPHARMA;SANS PPV;SANS PH;SANS PFHT;30
BISOPROLOL NOVOPHARMA 5 MG BOITE DE 15 COMPRIMES PELLICULES SECABLES;BISOPROLOL NOVOPHARMA;5 MG;COMPRIMES PELLICULES SECABLES;BOITE DE 15;BISOPROLOL FUMARATE;NOVOPHARMA;SANS PPV;SANS PH;SANS PFHT;15
BISOPROLOL NOVOPHARMA 5 MG BOITE DE 30 COMPRIMES PELLICULES SECABLES;BISOPROLOL NOVOPHARMA;5 MG;COMPRIMES PELLICULES SECABLES;BOITE DE 30;BISOPROLOL FUMARATE;NOVOPHARMA;SANS PPV;SANS PH;SANS PFHT;30
BISOPROLOL NOVOPHARMA 10 MG BOITE DE 15 COMPRIMES PELLICULES SECABLES;BISOPROLOL NOVOPHARMA;10 MG;COMPRIMES PELLICULES SECABLES;BOITE DE 15;BISOPROLOL FUMARATE;NOVOPHARMA;SANS PPV;SANS PH;SANS PFHT;15
BISOPROLOL NOVOPHARMA 10 MG BOITE DE 30 COMPRIMES PELLICULES SECABLES;BISOPROLOL NOVOPHARMA;10 MG;COMPRIMES PELLICULES SECABLES;BOITE DE 30;BISOPROLOL FUMARATE;NOVOPHARMA;SANS PPV;SANS PH;SANS PFHT;30
DETAMINE 100 000 UI BOITE D'UNE AMPOULE DE 2 ML SOLUTION BUVABLE;DETAMINE;100 000 UI;SOLUTION BUVABLE;BOITE D'UNE AMPOULE DE 2 ML;CHOLECALCIFEROL;COOPER PHARMA;SANS PPV;SANS PH;SANS PFHT;1
